Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
39,All cancers,716,ZWE,Zimbabwe,0,207.96,144.04,Africa
39,All cancers,710,ZAF,South Africa,0,203.42,122.52,Africa
39,All cancers,638,REU,"France, La Réunion",0,203.07,95.2,Africa
39,All cancers,516,NAM,Namibia,0,193.48,112.96,Africa
39,All cancers,818,EGY,Egypt,0,166.13,107.68,Africa
39,All cancers,894,ZMB,Zambia,0,159.53,109.22,Africa
39,All cancers,454,MWI,Malawi,0,159.5,117.87,Africa
39,All cancers,800,UGA,Uganda,0,154.35,113.86,Africa
39,All cancers,504,MAR,Morocco,0,149.83,85.94,Africa
39,All cancers,404,KEN,Kenya,0,149.14,104.04,Africa
39,All cancers,012,DZA,Algeria,0,141.17,77.66,Africa
39,All cancers,834,TZA,"Tanzania, United Republic of",0,140.13,97.11,Africa
39,All cancers,480,MUS,Mauritius,0,139.99,66.57,Africa
39,All cancers,466,MLI,Mali,0,139.88,102.43,Africa
39,All cancers,384,CIV,"Côte d'Ivoire",0,136.96,93.56,Africa
39,All cancers,788,TUN,Tunisia,0,135.35,80.17,Africa
39,All cancers,748,SWZ,Eswatini,0,135.3,88.82,Africa
39,All cancers,024,AGO,Angola,0,133.47,90.03,Africa
39,All cancers,903,,Africa,0,132.29,88.91,Africa
39,All cancers,434,LBY,Libya,0,132.25,91.09,Africa
39,All cancers,508,MOZ,Mozambique,0,128.75,96.33,Africa
39,All cancers,108,BDI,Burundi,0,128.2,98.66,Africa
39,All cancers,120,CMR,Cameroon,0,126.02,87.33,Africa
39,All cancers,854,BFA,Burkina Faso,0,125.18,98.47,Africa
39,All cancers,706,SOM,Somalia,0,121.03,95.54,Africa
39,All cancers,288,GHA,Ghana,0,120.36,82.59,Africa
39,All cancers,148,TCD,Chad,0,118.14,86.18,Africa
39,All cancers,450,MDG,Madagascar,0,117.41,83.61,Africa
39,All cancers,324,GIN,Guinea,0,116.32,87.53,Africa
39,All cancers,426,LSO,Lesotho,0,115.54,81.98,Africa
39,All cancers,072,BWA,Botswana,0,115.41,66.13,Africa
39,All cancers,430,LBR,Liberia,0,115.21,83.97,Africa
39,All cancers,266,GAB,Gabon,0,114.38,69.47,Africa
39,All cancers,686,SEN,Senegal,0,113.85,81.62,Africa
39,All cancers,566,NGA,Nigeria,0,113.55,74.64,Africa
39,All cancers,226,GNQ,Equatorial Guinea,0,107.72,72.1,Africa
39,All cancers,768,TGO,Togo,0,107.48,73.96,Africa
39,All cancers,174,COM,Comoros,0,106.81,75.34,Africa
39,All cancers,478,MRT,Mauritania,0,105.31,74.75,Africa
39,All cancers,678,STP,Sao Tome and Principe,0,104.86,67.95,Africa
39,All cancers,231,ETH,Ethiopia,0,104.49,74.45,Africa
39,All cancers,180,COD,"Congo, Democratic Republic of",0,102.99,76.18,Africa
39,All cancers,204,BEN,Benin,0,102.63,71.64,Africa
39,All cancers,140,CAF,Central African Republic,0,101.8,79.87,Africa
39,All cancers,624,GNB,Guinea-Bissau,0,100.34,76.46,Africa
39,All cancers,232,ERI,Eritrea,0,99.82,72.52,Africa
39,All cancers,728,SSD,South Sudan,0,99.42,76.28,Africa
39,All cancers,729,SDN,Sudan,0,95.63,64.44,Africa
39,All cancers,262,DJI,Djibouti,0,90.71,66.73,Africa
39,All cancers,132,CPV,Cape Verde,0,87.01,58.34,Africa
39,All cancers,562,NER,Niger,0,83.65,66.14,Africa
39,All cancers,646,RWA,Rwanda,0,83.22,59.44,Africa
39,All cancers,178,COG,"Congo, Republic of",0,80.73,52.89,Africa
39,All cancers,270,GMB,The Republic of the Gambia,0,79.17,62.69,Africa
39,All cancers,694,SLE,Sierra Leone,0,35.9,25.51,Africa
39,All cancers,392,JPN,Japan,0,267.08,78.63,Asia
39,All cancers,376,ISR,Israel,0,245.78,83.2,Asia
39,All cancers,496,MNG,Mongolia,0,235.79,181.52,Asia
39,All cancers,410,KOR,Republic of Korea,0,234.7,77.01,Asia
39,All cancers,702,SGP,Singapore,0,231.06,110.78,Asia
39,All cancers,792,TUR,Türkiye,0,225.86,116.1,Asia
39,All cancers,156,CHN,China,0,201.61,96.47,Asia
39,All cancers,051,ARM,Armenia,0,201.57,116.69,Asia
39,All cancers,268,GEO,Georgia,0,197.5,111.69,Asia
39,All cancers,096,BRN,Brunei Darussalam,0,192.22,104.58,Asia
39,All cancers,608,PHL,Philippines,0,185.4,112.89,Asia
39,All cancers,422,LBN,Lebanon,0,168.78,92.27,Asia
39,All cancers,408,PRK,Korea (Democratic People Republic of),0,166.06,113.87,Asia
39,All cancers,935,,Asia,0,164.36,87.96,Asia
39,All cancers,398,KAZ,Kazakhstan,0,162.28,92.08,Asia
